Title,Filename,Date,Source,URL
"News Conference in Doral, Florida",2016-7-27-trump-speech,7/27/16,UCSB Presidency Project,http://www.presidency.ucsb.edu/ws/index.php?pid=118047
Full text: Donald Trump's speech on fighting terrorism,2016-8-15-trump-speech,8/15/16,Politico,http://www.politico.com/story/2016/08/donald-trump-terrorism-speech-227025
Full text: Donald Trump campaign speech in Wisconsin,2016-8-16-trump-speech,8/16/16,Politico,http://www.politico.com/story/2016/08/full-text-donald-trumps-speech-on-227095
Full text: Donald Trump's remarks in Charlotte,2016-8-18-trump-speech,8/18/16,Politico,http://www.politico.com/story/2016/08/donald-trump-never-lie-227183
"FULL SPEECH: Donald Trump in Tampa, Florida",2016-8-24-trump-speech,8/24/16,TheHill,http://thehill.com/blogs/pundits-blog/presidential-campaign/292520-full-speech-donald-trump-in-tampa-florida
"Transcript: Donald Trump's full remarks in Des Moines, Iowa",2016-8-27-trump-speech,8/27/16,Politico,http://www.politico.com/story/2016/08/full-text-trump-227472
Full text: Donald Trump immigration speech in Arizona,2016-8-31-trump-speech,8/31/16,Politico,http://www.politico.com/story/2016/08/donald-trump-immigration-address-transcript-227614
TRUMP ADDRESSES CLINTON ‘DEPLORABLES’ IN SPEECH TO NATIONAL GUARD OF THE UNITED STATES,2016-9-12-trump-speech,9/12/16,DonaldJTrump.com,https://www.donaldjtrump.com/press-releases/donald-j.-trump-remarks-at-the-national-guard-association-of-the-united-sta
TRUMP TO OHIO: I WILL CAMPAIGN FOR EVERY VOTE,2016-9-14-trump-speech,9/14/16,DonaldJTrump.com,https://www.donaldjtrump.com/press-releases/trump-to-ohio-i-will-campaign-for-every-vote
TRANSCRIPT OF ECONOMIC SPEECH - DELIVERED TO THE ECONOMIC CLUB OF NEW YORK,2016-9-15-trump-speech,9/15/16,Donald Trump's Facebook page,https://m.facebook.com/DonaldTrump/posts/10157698735525725:0
"DONALD TRUMP TALKS HAITI, CUBA, VENEZUELA IN FLORIDA SWING",2016-9-16-trump-speech,9/16/16,DonaldJTrump.com,https://www.donaldjtrump.com/press-releases/donald-trump-talks-haiti-cuba-venezuala-in-florida-swing
DONALD J. TRUMP DELIVERS ADDRESS TO VICTIMS OF ILLEGAL IMMIGRANT CRIME,2016-9-17-trump-speech,9/17/16,DonaldJTrump.com,https://www.donaldjtrump.com/press-releases/donald-j.-trump-remarks-for-remembrance-project
Transcript of Donald Trump’s speech on national security in Philadelphia,2016-9-7-trump-speech,9/7/16,TheHill,http://thehill.com/blogs/pundits-blog/campaign/294817-transcript-of-donald-trumps-speech-on-national-security-in
"IN FLORIDA, TRUMP DETAILS FOREIGN POLICY FAILURES OF HILLARY CLINTON",2016-9-9-trump-speech,9/9/16,DonaldJTrump.com,https://www.donaldjtrump.com/press-releases/donald-j.-trump-remarks-in-pensacola
Full text: Trump Values Voter Summit remarks,2016-9-9-trump-speech-2,9/9/16,Politico,http://www.politico.com/story/2016/09/full-text-trump-values-voter-summit-remarks-227977
